,name,is_occluded,is_top_occluded,is_bottom_occluded,is_face_detected
0,0_0_00_afw2298img.jpg,False,False,False,True
1,0_0_00_afw1348img.jpg,False,False,False,True
2,1_0_11_MAFA_train_25263.jpg,True,False,True,True
3,1_0_11_MAFA_train_21817.jpg,True,False,True,False
4,0_0_00_PGU_126_01.jpg,False,False,False,True
5,0_0_00_afw294img.jpg,False,False,False,True
6,1_1_0afw39img.jpg,True,True,False,True
7,1_1_0_crop_182anngurakao1.jpg,True,True,False,True
8,0_0_00_afw729img.jpg,False,False,False,True
9,0_0_00_afw1279img.jpg,False,False,False,True
10,1_1_0PGU_45_02.jpg,True,True,False,True
11,0_0_00_afw222img.jpg,False,False,False,True
12,0_0_00_eyeglass_320img.jpg,False,False,False,True
13,1_0_11_COFW_test_472.jpg,True,False,True,True
14,1_0_11_MAFA_train_12065.jpg,True,False,True,True
15,1_0_11_MAFA_test_2207.jpg,True,False,True,False
16,1_0_11_MAFA_train_6285.jpg,True,False,True,True
17,1_1_0COFW_test_382.jpg,True,True,False,True
18,1_0_11_eyeglass_119img.jpg,True,False,True,False
19,1_1_0_crop_7-4-700x1050 복사본.jpg,True,True,False,True
20,0_0_0_cpw_cpwGary_Leon_Ridgway_1.jpg,False,False,False,True
21,1_0_11_MAFA_train_1717.jpg,True,False,True,False
22,1_1_0PGU_160_02.jpg,True,True,False,True
23,1_0_11_MAFA_train_11904.jpg,True,False,True,False
24,1_0_11_MAFA_train_21113.jpg,True,False,True,False
25,1_0_11_eyeglass_2img.jpg,True,False,True,True
26,1_0_11_MAFA_train_10927.jpg,True,False,True,True
27,1_0_11_MAFA_train_11021.jpg,True,False,True,True
28,1_0_11_MAFA_test_877.jpg,True,False,True,False
29,1_0_11_MAFA_train_14356.jpg,True,False,True,False
30,0_0_00_afw357img.jpg,False,False,False,True
31,0_0_00_afw210img.jpg,False,False,False,True
32,0_0_00_eyeglass_280img.jpg,False,False,False,True
33,1_0_11_MAFA_train_19139.jpg,True,False,True,False
34,1_1_0COFW_test_155.jpg,True,True,False,True
35,1_0_11_MAFA_train_5616.jpg,True,False,True,True
36,1_0_11_MAFA_test_3335.jpg,True,False,True,True
37,1_1_0PGU_91_1_004 2.jpg,True,True,False,True
38,0_0_00_eyeglass_1178img.jpg,False,False,False,True
39,1_0_11_COFW_train_1250.jpg,True,False,True,True
40,0_0_00_eyeglass_753img.jpg,False,False,False,True
41,0_0_00_afw1638img.jpg,False,False,False,False
42,1_0_11_MAFA_train_21892.jpg,True,False,True,True
43,1_0_11_MAFA_train_8463.jpg,True,False,True,False
44,0_0_00_afw1434img.jpg,False,False,False,False
45,1_0_11_MAFA_train_4491.jpg,True,False,True,True
46,0_0_0_crop_265218330810_1.jpg,False,False,False,True
47,0_0_00_afw1376img.jpg,False,False,False,True
48,1_0_11_MAFA_train_15446.jpg,True,False,True,False
49,1_0_11_MAFA_train_7672.jpg,True,False,True,False
50,1_0_11_MAFA_train_7125.jpg,True,False,True,False
51,1_0_11_MAFA_train_22707.jpg,True,False,True,True
52,1_0_11_MAFA_train_11404.jpg,True,False,True,False
53,1_0_11_COFW_train_1168.jpg,True,False,True,True
54,1_0_11_MAFA_train_18909.jpg,True,False,True,False
55,1_0_11_MAFA_train_472.jpg,True,False,True,True
56,0_0_0cpw_cpwDouglas_Paal_3.jpg,False,False,False,True
57,0_0_0_crop_318840c010c011.jpg,False,False,False,True
58,0_0_00_PGU_82_03.jpg,False,False,False,True
59,0_0_0_COFW_train_1311.jpg,False,False,False,True
60,1_1_0sunglass_crop_b0eb7c8c318f33ae8c1350a0bbd142c896.jpg,True,True,False,True
61,0_0_0_crop_23359895005301.jpg,False,False,False,True
62,1_1_0_crop_19sunglasses1.jpg,True,True,False,True
63,0_0_00_COFW_train_238.jpg,False,False,False,True
64,1_1_0PGU_180_02.jpg,True,True,False,True
65,0_0_0_crop_222_08800400_1.jpg,False,False,False,True
66,1_0_11_MAFA_train_21176.jpg,True,False,True,False
67,0_0_0_cpw_cpwJim_Fassel_1.jpg,False,False,False,True
68,1_0_11_MAFA_test_3590.jpg,True,False,True,True
69,0_0_00_afw2366img.jpg,False,False,False,True
70,1_0_11_MAFA_test_1249.jpg,True,False,True,True
71,1_0_11_MAFA_train_17696.jpg,True,False,True,False
72,1_0_11_MAFA_train_15291.jpg,True,False,True,True
73,0_0_00_afw1690img.jpg,False,False,False,True
74,1_1_0sunglass_crop_glasses-women-woman-decoration-watch.jpg,True,True,False,True
75,1_0_11_MAFA_train_18263.jpg,True,False,True,True
76,0_0_00_eyeglass_590img.jpg,False,False,False,True
